period,respondent,respondent-name,type,type-name,value,value-units
2024-06-01T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76479,megawatthours
2024-06-01T00,PJM,"PJM Interconnection, LLC",D,Demand,92551,megawatthours
2024-05-31T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77638,megawatthours
2024-05-31T23,PJM,"PJM Interconnection, LLC",D,Demand,94233,megawatthours
2024-05-31T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78296,megawatthours
2024-05-31T22,PJM,"PJM Interconnection, LLC",D,Demand,93900,megawatthours
2024-05-31T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77921,megawatthours
2024-05-31T21,PJM,"PJM Interconnection, LLC",D,Demand,91759,megawatthours
2024-05-31T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77413,megawatthours
2024-05-31T20,PJM,"PJM Interconnection, LLC",D,Demand,88726,megawatthours
2024-05-31T19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77094,megawatthours
2024-05-31T19,PJM,"PJM Interconnection, LLC",D,Demand,86665,megawatthours
2024-05-31T18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76042,megawatthours
2024-05-31T18,PJM,"PJM Interconnection, LLC",D,Demand,85089,megawatthours
2024-05-31T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74811,megawatthours
2024-05-31T17,PJM,"PJM Interconnection, LLC",D,Demand,84031,megawatthours
2024-05-31T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73081,megawatthours
2024-05-31T16,PJM,"PJM Interconnection, LLC",D,Demand,83374,megawatthours
2024-05-31T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,71709,megawatthours
2024-05-31T15,PJM,"PJM Interconnection, LLC",D,Demand,83253,megawatthours
2024-05-31T14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,69747,megawatthours
2024-05-31T14,PJM,"PJM Interconnection, LLC",D,Demand,82175,megawatthours
2024-05-31T13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,67276,megawatthours
2024-05-31T13,PJM,"PJM Interconnection, LLC",D,Demand,81929,megawatthours
2024-05-31T12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,64389,megawatthours
2024-05-31T12,PJM,"PJM Interconnection, LLC",D,Demand,79813,megawatthours
2024-05-31T11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,61744,megawatthours
2024-05-31T11,PJM,"PJM Interconnection, LLC",D,Demand,76244,megawatthours
2024-05-31T10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60519,megawatthours
2024-05-31T10,PJM,"PJM Interconnection, LLC",D,Demand,72701,megawatthours
2024-05-31T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60460,megawatthours
2024-05-31T09,PJM,"PJM Interconnection, LLC",D,Demand,71206,megawatthours
2024-05-31T08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,61017,megawatthours
2024-05-31T08,PJM,"PJM Interconnection, LLC",D,Demand,71393,megawatthours
2024-05-31T07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62449,megawatthours
2024-05-31T07,PJM,"PJM Interconnection, LLC",D,Demand,72195,megawatthours
2024-05-31T06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,64357,megawatthours
2024-05-31T06,PJM,"PJM Interconnection, LLC",D,Demand,73959,megawatthours
2024-05-31T05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,67170,megawatthours
2024-05-31T05,PJM,"PJM Interconnection, LLC",D,Demand,76347,megawatthours
2024-05-31T04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,71028,megawatthours
2024-05-31T04,PJM,"PJM Interconnection, LLC",D,Demand,79352,megawatthours
2024-05-31T03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74993,megawatthours
2024-05-31T03,PJM,"PJM Interconnection, LLC",D,Demand,83068,megawatthours
2024-05-31T02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77559,megawatthours
2024-05-31T02,PJM,"PJM Interconnection, LLC",D,Demand,88164,megawatthours
2024-05-31T01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79080,megawatthours
2024-05-31T01,PJM,"PJM Interconnection, LLC",D,Demand,89890,megawatthours
2024-05-31T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,80680,megawatthours
2024-05-31T00,PJM,"PJM Interconnection, LLC",D,Demand,91574,megawatthours
2024-05-30T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,81615,megawatthours
2024-05-30T23,PJM,"PJM Interconnection, LLC",D,Demand,92454,megawatthours
2024-05-30T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,81546,megawatthours
2024-05-30T22,PJM,"PJM Interconnection, LLC",D,Demand,92471,megawatthours
2024-05-30T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,80625,megawatthours
2024-05-30T21,PJM,"PJM Interconnection, LLC",D,Demand,91343,megawatthours
2024-05-30T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79339,megawatthours
